"sec"	µA	"mV"
395.447	0	-111.634544372559
396.459	0	-108.088592529297
397.47	0	5.7191047668457
398.482	0	-15.5936985015869
399.492	0	-49.1450653076172
400.504	0	-28.823429107666
401.515	0	-71.7159805297852
402.527	0	-103.208389282227
403.538	0	31.9501724243164
404.549	0	12.8105211257935
405.561	0	-11.2473936080933
406.572	0	-50.6320610046387
407.584	0	-31.5304756164551
408.595	0	-65.6918640136719
409.607	0	-98.4809417724609
410.618	0	32.5221328735352
411.63	0	28.9000492095947
412.641	0	-63.709529876709
413.652	0	-65.5776672363281
414.664	0	-41.3289375305176
415.675	0	-62.794490814209
416.687	0	-4.88019847869873
417.697	0	26.0407390594482
418.709	0	-95.0877456665039
419.72	0	-53.7963829040527
420.731	0	17.3857078552246
421.742	0	-39.8800086975098
422.753	0	-31.1112670898438
423.765	0	-9.15037250518799
424.776	0	-96.879264831543
425.788	0	-108.851364135742
426.799	0	26.3457527160645
427.811	0	-20.3211479187012
428.822	0	-56.655689239502
429.834	0	-48.3442230224609
430.845	0	-47.543872833252
431.856	0	-77.3584671020508
432.868	0	20.7027778625488
433.879	0	33.3229713439941
434.891	0	-99.8532562255859
435.902	0	-24.7821369171143
436.914	0	-83.6495361328125
437.924	0	-105.648490905762
438.936	0	-97.6420364379883
439.947	0	-82.7344970703125
440.958	0	-175.534393310547
441.97	0	-214.385665893555
442.981	0	-82.8872451782227
443.993	0	-1.37231183052063
445.004	0	-14.1447677612305
446.016	0	-74.6514205932617
447.027	0	-68.0177688598633
448.039	0	-114.417724609375
449.05	0	-152.010375976563
450.061	0	-22.0750904083252
451.073	0	-37.4399070739746
452.084	0	-136.721694946289
453.096	0	-115.713905334473
454.107	0	-82.5436782836914
455.119	0	-100.425216674805
456.133	0	-131.955688476563
457.14	0	-26.1930027008057
458.152	0	-146.520156860352
459.163	0	-90.5506210327148
460.175	0	97.1086349487305
461.186	0	198.14387512207
462.198	0	121.128479003906
463.209	0	108.851364135742
464.222	0	18.6443099975586
465.233	0	-45.5991134643555
466.244	0	-27.3364334106445
467.255	0	-127.075492858887
468.266	0	-202.452117919922
469.281	0	-164.40168762207
470.289	0	-124.712013244629
471.301	0	-133.442687988281
472.312	0	-101.493003845215
473.324	0	-69.9620361328125
474.335	0	-187.163421630859
475.347	0	-184.913650512695
476.358	0	-61.9175186157227
477.369	0	-80.9424896240234
478.381	0	-131.87956237793
479.392	0	-113.426551818848
480.403	0	-105.953506469727
481.413	0	-129.630279541016
482.426	0	-133.366561889648
483.436	0	22.685604095459
484.448	0	-115.790031433105
485.459	0	-101.645263671875
486.47	0	-80.675537109375
487.482	0	-36.2964782714844
488.494	0	-56.1603507995605
489.505	0	-62.9467544555664
490.516	0	-66.4160842895508
491.528	0	-245.801940917969
492.539	0	-286.482788085938
493.551	0	-150.4091796875
494.562	0	-80.3705291748047
495.573	0	-147.054046630859
496.585	0	-90.702880859375
497.596	0	-46.7810974121094
498.608	0	-46.3238220214844
499.619	0	-16.8137474060059
500.631	0	7.16803598403931
501.641	0	-93.0668487548828
502.653	0	-110.185615539551
503.665	0	128.257965087891
504.675	0	85.0984649658203
505.687	0	6.13831377029419
506.698	0	125.932060241699
507.71	0	-470.253021240234
508.721	0	-240.502044677734
509.733	0	-157.576736450195
510.744	0	-120.060203552246
511.756	0	-92.4187622070313
512.767	0	-81.3236312866211
513.778	0	-80.7902221679688
514.79	0	-81.9722061157227
515.801	0	-81.2094345092773
516.812	0	-78.0065612792969
517.823	0	-74.4610977172852
518.836	0	-69.9620361328125
519.847	0	-70.4197998046875
520.858	0	-85.0603942871094
521.87	0	-132.337326049805
522.881	0	-103.894546508789
523.892	0	-83.5353393554688
524.903	0	-76.4053649902344
525.916	0	-55.016429901123
526.926	0	-89.7117156982422
527.938	0	-10.6373691558838
528.949	0	-23.6382179260254
529.962	0	-36.0675964355469
530.972	0	-47.543872833252
531.984	0	-49.0303802490234
532.996	0	-46.1330070495605
534.006	0	-45.2940979003906
535.019	0	-45.5991134643555
536.028	0	-44.3409957885742
537.041	0	-46.3999519348145
538.052	0	-53.0340957641602
539.062	0	-56.5034294128418
540.074	0	-51.0132026672363
541.085	0	-48.3442230224609
542.096	0	-46.7810974121094
543.108	0	-44.3409957885742
544.119	0	-44.912956237793
545.131	0	-43.4640235900879
546.143	0	-41.8628311157227
547.154	0	-39.3846664428711
548.165	0	-38.5457611083984
549.177	0	-29.3192577362061
550.187	0	-31.3782138824463
551.199	0	-3.66014885902405
552.21	0	53.2629776000977
553.223	0	59.9732475280762
554.233	0	19.1396503448486
555.244	0	54.7119064331055
556.255	0	33.8563766479492
557.267	0	4.72793626785278
558.278	0	12.9632720947266
559.289	0	-29.8145980834961
560.301	0	-114.913551330566
561.312	0	-116.361991882324
562.324	0	-87.1954879760742
563.335	0	-75.3380661010742
564.347	0	-57.7615432739258
565.358	0	-52.7290840148926
566.37	0	-28.6711673736572
567.381	0	-21.4650650024414
568.392	0	-42.4728584289551
569.404	0	-47.6580696105957
570.415	0	-100.082138061523
571.427	0	-86.0515670776367
572.438	0	-22.3801021575928
573.45	0	-55.474193572998
574.461	0	-82.5822296142578
575.472	0	-89.7497787475586
576.483	0	-90.7790145874023
577.494	0	-85.7846221923828
578.506	0	-90.8936996459961
579.517	0	-88.0339050292969
580.529	0	-81.0186157226563
581.54	0	-83.8784103393555
582.552	0	-83.2303237915039
583.563	0	-86.5473937988281
584.574	0	-71.10595703125
585.586	0	-63.2898330688477
586.597	0	-207.370376586914
587.609	0	-123.9873046875
588.62	0	-106.601593017578
589.632	0	-99.6629257202148
590.643	0	-86.813850402832
591.655	0	-87.1574172973633
592.666	0	-82.8872451782227
593.678	0	-41.6339492797852
594.688	0	-85.3273468017578
595.699	0	-109.804466247559
596.711	0	-126.237075805664
597.722	0	-152.582336425781
598.734	0	-143.165023803711
599.745	0	-131.231475830078
600.756	0	-121.547203063965
601.767	0	-113.769630432129
602.779	0	-111.82487487793
603.79	0	-107.249687194824
604.801	0	-106.563529968262
605.813	0	-103.856483459473
606.824	0	-101.721397399902
607.836	0	-92.1137466430664
608.847	0	-92.3806991577148
609.859	0	-98.2520599365234
610.87	0	-98.8240203857422
611.4	-0.848337658680975	-99.2051620483398
611.882	-0.930254813283682	0.0380655489861965
612.893	-0.848337658680975	0.0766191184520721
613.904	-0.848337658680975	0.0766191184520721
614.915	-0.930254813283682	0.0380655489861965
615.927	-0.766420504078269	0.0766191184520721
616.938	-0.848337658680975	0
617.949	-0.848337658680975	0.0766191184520721
618.962	-0.684503349475563	0
619.972	-0.930254813283682	0.0766191184520721
620.985	-0.930254813283682	0.152750223875046
621.995	-0.684503349475563	0.0766191184520721
623.007	-0.766420504078269	0.0766191184520721
624.019	-0.848337658680975	0.0766191184520721
625.029	-0.848337658680975	0.0766191184520721
626.041	-0.684503349475563	0.0766191184520721
627.052	-0.766420504078269	0.0766191184520721
628.065	-0.766420504078269	0.0766191184520721
629.075	-0.848337658680975	0.0766191184520721
630.087	-0.848337658680975	0.0380655489861965
631.099	-0.766420504078269	0.0380655489861965
632.109	-0.930254813283682	0
633.122	-0.848337658680975	0
634.132	-0.930254813283682	0
635.143	-0.848337658680975	0.0380655489861965
636.155	-0.684503349475563	0.0766191184520721
637.167	-0.848337658680975	0.0766191184520721
638.177	-0.848337658680975	0.0766191184520721
639.19	-0.848337658680975	0
640.2	-0.848337658680975	0.0380655489861965
641.213	-0.766420504078269	0.0380655489861965
642.223	-0.848337658680975	0
643.234	-0.766420504078269	0
644.247	-0.848337658680975	0.0380655489861965
645.258	-0.848337658680975	0.0380655489861965
646.269	-0.848337658680975	0.0766191184520721
647.281	-0.848337658680975	0.0766191184520721
648.293	-0.930254813283682	0
649.304	-0.848337658680975	0.0380655489861965
650.315	-0.684503349475563	0.0380655489861965
651.327	-0.684503349475563	0.0766191184520721
652.337	-0.930254813283682	0.0766191184520721
653.348	-0.848337658680975	0
654.359	-0.848337658680975	0.0380655489861965
655.372	-0.766420504078269	0
656.382	-0.848337658680975	0.0380655489861965
657.394	-0.848337658680975	0.0380655489861965
658.406	-0.766420504078269	0
659.417	-0.930254813283682	-0.076131097972393
660.427	-0.848337658680975	0.0380655489861965
661.439	-0.848337658680975	0.0766191184520721
662.45	-0.930254813283682	0.0766191184520721
663.461	-0.930254813283682	0.0766191184520721
664.474	-0.684503349475563	0
665.484	-0.848337658680975	0.0380655489861965
666.496	-0.766420504078269	0.114684671163559
667.507	-0.848337658680975	0
668.52	-0.848337658680975	0.114684671163559
669.53	-0.848337658680975	0.0766191184520721
670.541	-0.930254813283682	0.114684671163559
671.554	-0.848337658680975	0.0766191184520721
672.564	-0.848337658680975	0.0766191184520721
673.575	-0.848337658680975	0.114684671163559
674.587	-0.766420504078269	0.0766191184520721
675.598	-0.930254813283682	0.0766191184520721
676.61	-0.848337658680975	0.0766191184520721
677.62	-0.848337658680975	0
678.633	-0.766420504078269	0.0380655489861965
679.648	-0.930254813283682	0.114684671163559
680.655	-0.766420504078269	0.0766191184520721
681.666	-0.848337658680975	0.0380655489861965
682.678	-0.684503349475563	0.0766191184520721
683.689	-0.766420504078269	0.0766191184520721
684.702	-0.848337658680975	0.0766191184520721
685.715	-0.848337658680975	0.0766191184520721
686.724	-0.684503349475563	0.0766191184520721
687.735	-0.766420504078269	0.0380655489861965
688.747	-0.848337658680975	0.0380655489861965
689.759	-0.848337658680975	0.0380655489861965
690.769	-0.848337658680975	0.0766191184520721
691.781	-0.848337658680975	0.0766191184520721
692.792	-0.848337658680975	0.0766191184520721
693.803	-0.930254813283682	0.0766191184520721
694.814	-0.848337658680975	0.114684671163559
695.827	-0.684503349475563	0.0766191184520721
696.838	-0.848337658680975	0.0380655489861965
697.848	-0.848337658680975	0.0766191184520721
698.86	-0.930254813283682	0
699.872	-0.848337658680975	0.114684671163559
700.883	-0.848337658680975	0.0766191184520721
701.895	-0.766420504078269	0.0766191184520721
702.906	-0.766420504078269	0.0766191184520721
703.917	-0.848337658680975	0.0380655489861965
704.928	-0.766420504078269	0.0766191184520721
705.941	-0.684503349475563	0.0766191184520721
706.951	-0.848337658680975	0.0380655489861965
707.963	-0.766420504078269	0.0766191184520721
708.974	-0.848337658680975	0
709.987	-0.684503349475563	0.0380655489861965
710.997	-0.766420504078269	0.0766191184520721
712.008	-0.930254813283682	0.0766191184520721
713.019	-0.766420504078269	0
714.031	-0.684503349475563	0.0766191184520721
715.042	-0.766420504078269	0.0766191184520721
716.053	-0.848337658680975	0.0766191184520721
717.065	-0.684503349475563	0.0380655489861965
718.076	-0.848337658680975	0.0766191184520721
719.088	-0.848337658680975	0.0380655489861965
720.098	-0.848337658680975	0.0766191184520721
721.11	-0.848337658680975	0.0766191184520721
722.121	-0.848337658680975	0.0766191184520721
723.132	-0.848337658680975	0.0766191184520721
724.144	-0.766420504078269	0.152750223875046
725.155	-0.684503349475563	0.0766191184520721
726.167	-0.766420504078269	0.0766191184520721
727.178	-0.930254813283682	0.0380655489861965
728.19	-0.930254813283682	0.0380655489861965
729.201	-0.684503349475563	0.0766191184520721
730.213	-0.848337658680975	0.0766191184520721
731.224	-0.766420504078269	0.0766191184520721
