sec"    "µA"    "mV
404,567    -2,07919534295797    0,114684671163559
405,579    -1,91536103375256    0,152750223875046
406,59    -1,58664223272353    0,114684671163559
407,601    -2,161112613976    0,0766191184520721
408,614    -2,24302965216339    0,0766191184520721
409,624    -1,99727830477059    0,0766191184520721
410,637    -1,50472507812083    0,114684671163559
411,648    -2,07919534295797    0,0766191184520721
412,66    -1,99727830477059    0,0766191184520721
413,67    -1,75152672454715    0,152750223875046
414,682    -1,83344387914985    0,152750223875046
415,694    -1,50472507812083    0,0766191184520721
416,704    -1,99727830477059    0,0766191184520721
417,716    -1,50472507812083    0,114684671163559
418,728    -2,07919534295797    0,0766191184520721
419,739    -1,83344387914985    0,114684671163559
420,749    -0,930254813283682    0,114684671163559
421,761    -1,83344387914985    0,114684671163559
422,771    -1,58664223272353    0,0766191184520721
423,782    -1,99727830477059    0,190815761685371
424,794    -1,83344387914985    0,114684671163559
425,806    -1,99727830477059    0,114684671163559
426,817    -1,34089076891541    0,114684671163559
427,829    -2,07919534295797    0,114684671163559
428,841    -1,83344387914985    0,114684671163559
429,852    -1,75152672454715    0,114684671163559
430,864    -2,07919534295797    0,114684671163559
431,875    -1,99727830477059    0,190815761685371
432,886    -1,99727830477059    0,0766191184520721
433,897    -1,75152672454715    0,152750223875046
434,908    -2,07919534295797    0,152750223875046
435,921    -1,83344387914985    0,152750223875046
436,931    -1,91536103375256    0,114684671163559
437,943    -1,75152672454715    0,190815761685371
438,955    -1,91536103375256    0,0766191184520721
439,966    -1,91536103375256    0,114684671163559
440,977    -1,75152672454715    0,152750223875046
441,987    -1,99727830477059    0,114684671163559
442,999    -1,0951393051073    0,190815761685371
444,01    -1,0951393051073    0,0766191184520721
445,022    -1,83344387914985    0,190815761685371
446,033    -1,99727830477059    0,0766191184520721
447,045    -1,91536103375256    0,0766191184520721
448,056    -1,34089076891541    0,0766191184520721
449,068    -1,99727830477059    0,0766191184520721
450,079    -1,50472507812083    0,0766191184520721
451,09    -1,99727830477059    0,114684671163559
452,102    -1,91536103375256    0,114684671163559
453,113    -1,91536103375256    0,114684671163559
454,125    -1,91536103375256    0,152750223875046
455,136    -1,83344387914985    0,190815761685371
456,148    -1,99727830477059    0,114684671163559
457,159    -1,83344387914985    0,152750223875046
458,171    -1,99727830477059    0,190815761685371
459,182    -1,34089076891541    0,0766191184520721
460,193    -1,99727830477059    0,0766191184520721
461,205    -1,75152672454715    0,0380655489861965
462,215    -1,83344387914985    0,152750223875046
463,227    -1,75152672454715    0,0380655489861965
464,238    -1,83344387914985    0,0766191184520721
465,25    -1,91536103375256    0,114684671163559
466,261    -1,66855938732624    0,190815761685371
467,273    -1,42280792351812    0,190815761685371
468,284    -1,75152672454715    0,190815761685371
469,295    -1,91536103375256    0,190815761685371
470,307    -1,91536103375256    0,152750223875046
471,318    -2,161112613976    0,190815761685371
472,33    -1,99727830477059    0,152750223875046
473,341    -1,66855938732624    0,190815761685371
474,353    -1,91536103375256    0,114684671163559
475,364    -1,99727830477059    0,152750223875046
476,375    -1,83344387914985    0,152750223875046
477,387    -1,83344387914985    0,152750223875046
478,398    -1,83344387914985    0,190815761685371
479,41    -1,34089076891541    0,0766191184520721
480,42    -1,83344387914985    0,0766191184520721
481,431    -1,99727830477059    0,152750223875046
482,442    -1,17705645971    0,114684671163559
483,454    -1,34089076891541    0,152750223875046
484,465    -1,83344387914985    0,114684671163559
485,476    -1,83344387914985    0,0766191184520721
486,488    -1,91536103375256    0,114684671163559
487,499    -1,91536103375256    0,0766191184520721
488,511    -1,83344387914985    0,114684671163559
489,522    -1,91536103375256    0,0766191184520721
490,534    -1,0951393051073    0,152750223875046
491,545    -1,50472507812083    0,190815761685371
492,557    -1,99727830477059    0,114684671163559
493,568    -1,83344387914985    0,152750223875046
494,579    -1,83344387914985    0,114684671163559
495,591    -1,91536103375256    0,0766191184520721
496,602    -1,83344387914985    0,114684671163559
497,614    -1,75152672454715    0,152750223875046
498,625    -1,66855938732624    0,0766191184520721
499,637    -1,0951393051073    0,114684671163559
500,647    -1,75152672454715    0,190815761685371
501,659    -1,66855938732624    0,0766191184520721
502,67    -1,42280792351812    0,0766191184520721
503,682    -1,83344387914985    0,0766191184520721
504,694    -1,34089076891541    0,114684671163559
505,705    -1,83344387914985    0,114684671163559
506,717    -1,75152672454715    0,0380655489861965
507,728    -1,83344387914985    0,152750223875046
508,74    -1,75152672454715    0,114684671163559
509,751    -1,99727830477059    0,152750223875046
510,763    -1,83344387914985    0,152750223875046
511,774    -1,91536103375256    0,114684671163559
512,785    -1,50472507812083    0,0766191184520721
513,797    -2,161112613976    0,114684671163559
514,808    -1,83344387914985    0,114684671163559
515,819    -1,17705645971    0,114684671163559
516,83    -1,34089076891541    0,0766191184520721
517,842    -1,66855938732624    0,114684671163559
518,853    -1,58664223272353    0,114684671163559
519,866    -1,66855938732624    0,114684671163559
520,876    -1,50472507812083    0,190815761685371
521,886    -1,75152672454715    0,114684671163559
522,899    -1,75152672454715    0,114684671163559
523,91    -1,83344387914985    0,152750223875046
524,922    -1,75152672454715    0,0766191184520721
525,932    -1,75152672454715    0,114684671163559
526,945    -1,50472507812083    0,0766191184520721
527,956    -1,83344387914985    0,114684671163559
528,968    -1,91536103375256    0,152750223875046
529,978    -1,50472507812083    0,152750223875046
530,99    -1,0951393051073    0
532,002    -1,75152672454715    0,0766191184520721
533,013    -1,25897361431271    -0,0380655489861965
534,024    -1,50472507812083    0,114684671163559
535,036    -1,66855938732624    0,114684671163559
536,047    -1,83344387914985    0,190815761685371
537,059    -1,58664223272353    0,114684671163559
